IPC delay sensitivity report
K=[1, 3, 5], D candidates=[30, 50, 80], D_ref=80

[Global capture vs D_ref]
capture% mean=97.65, std=2.13, min=88.14, p05=94.02

[Ranking stability vs D_ref]
D_max=30: pearson=1.0000, spearman=1.0000, n_models=10
D_max=50: pearson=1.0000, spearman=1.0000, n_models=10
D_max=80: pearson=1.0000, spearman=1.0000, n_models=10

[Per-model means by D_max]
C. elegans: D=30: 94.44%±1.21%, D=50: 96.48%±0.81%, D=80: 100.00%±0.00%
cel+randN: D=30: 97.45%±0.57%, D=50: 98.41%±0.47%, D=80: 100.00%±0.00%
ER (p=0.1): D=30: 97.76%±0.32%, D=50: 98.58%±0.22%, D=80: 100.00%±0.00%
ws_p0.1+randN: D=30: 97.73%±0.31%, D=50: 98.61%±0.26%, D=80: 100.00%±0.00%
local_sign: D=30: 95.14%±0.90%, D=50: 97.03%±0.65%, D=80: 100.00%±0.00%
local_sign+flat: D=30: 94.27%±1.23%, D=50: 96.40%±0.74%, D=80: 100.00%±0.00%
local_sign+binary: D=30: 94.59%±1.65%, D=50: 96.69%±1.02%, D=80: 100.00%±0.00%
global_sign_pres: D=30: 94.89%±0.96%, D=50: 96.93%±0.56%, D=80: 100.00%±0.00%
global_sign_pres_real_weight: D=30: 95.06%±0.96%, D=50: 96.98%±0.67%, D=80: 100.00%±0.00%
binary_base: D=30: 95.00%±0.83%, D=50: 96.93%±0.50%, D=80: 100.00%±0.00%
